CMDLINE ./run.sh
MEM 0.328125 1764287318.3347
MEM 0.328125 1764287318.4385
MEM 0.328125 1764287318.5427
MEM 0.328125 1764287318.6438
MEM 0.328125 1764287318.7484
MEM 0.328125 1764287318.8519
MEM 0.328125 1764287318.9532
MEM 0.328125 1764287319.0558
MEM 0.328125 1764287319.1565
MEM 0.328125 1764287319.2594
MEM 0.328125 1764287319.3624
MEM 0.328125 1764287319.4677
MEM 0.328125 1764287319.5695
MEM 0.328125 1764287319.6715
MEM 0.328125 1764287319.7768
MEM 0.328125 1764287319.8810
MEM 0.328125 1764287319.9829
MEM 0.328125 1764287320.0883
MEM 0.328125 1764287320.1899
MEM 0.328125 1764287320.2935
MEM 0.328125 1764287320.3988
MEM 0.328125 1764287320.5003
MEM 0.328125 1764287320.6054
MEM 0.328125 1764287320.7108
MEM 0.328125 1764287320.8158
MEM 0.328125 1764287320.9211
MEM 0.328125 1764287321.0251
MEM 0.328125 1764287321.1299
MEM 0.328125 1764287321.2345
MEM 0.328125 1764287321.3380
MEM 0.328125 1764287321.4415
MEM 0.328125 1764287321.5465
MEM 0.328125 1764287321.6509
MEM 0.328125 1764287321.7561
MEM 0.328125 1764287321.8571
MEM 0.328125 1764287321.9633
MEM 0.328125 1764287322.0687
MEM 0.328125 1764287322.1725
MEM 0.328125 1764287322.2769
MEM 0.328125 1764287322.3807
MEM 0.328125 1764287322.4835
MEM 0.328125 1764287322.5876
MEM 0.328125 1764287322.6912
MEM 0.328125 1764287322.7965
MEM 0.328125 1764287322.9003
MEM 0.328125 1764287323.0051
MEM 0.328125 1764287323.1090
MEM 0.328125 1764287323.2132
MEM 0.328125 1764287323.3165
MEM 0.328125 1764287323.4219
MEM 0.328125 1764287323.5264
MEM 0.328125 1764287323.6318
MEM 0.328125 1764287323.7336
MEM 0.328125 1764287323.8384
MEM 0.328125 1764287323.9436
MEM 0.328125 1764287324.0489
MEM 0.328125 1764287324.1532
MEM 0.328125 1764287324.2581
MEM 0.328125 1764287324.3593
MEM 0.328125 1764287324.4650
MEM 0.328125 1764287324.5692
MEM 0.328125 1764287324.6732
MEM 0.328125 1764287324.7786
MEM 0.328125 1764287324.8838
MEM 0.328125 1764287324.9892
MEM 0.328125 1764287325.0946
MEM 0.328125 1764287325.1981
MEM 0.328125 1764287325.3035
MEM 0.328125 1764287325.4087
MEM 0.328125 1764287325.5150
MEM 0.328125 1764287325.6180
MEM 0.328125 1764287325.7223
MEM 0.328125 1764287325.8244
MEM 0.328125 1764287325.9281
MEM 0.328125 1764287326.0334
MEM 0.328125 1764287326.1392
MEM 0.328125 1764287326.2436
MEM 0.328125 1764287326.3445
MEM 0.328125 1764287326.4487
MEM 0.328125 1764287326.5539
MEM 0.328125 1764287326.6561
MEM 0.328125 1764287326.7614
MEM 0.328125 1764287326.8644
MEM 0.328125 1764287326.9655
MEM 0.328125 1764287327.0702
MEM 0.328125 1764287327.1754
MEM 0.328125 1764287327.2774
MEM 0.328125 1764287327.3808
MEM 0.328125 1764287327.4836
MEM 0.328125 1764287327.5874
MEM 0.328125 1764287327.6886
MEM 0.328125 1764287327.7939
MEM 0.328125 1764287327.8979
MEM 0.328125 1764287328.0004
MEM 0.328125 1764287328.1043
MEM 0.328125 1764287328.2086
MEM 0.328125 1764287328.3138
MEM 0.328125 1764287328.4170
MEM 0.328125 1764287328.5206
MEM 0.328125 1764287328.6232
MEM 0.328125 1764287328.7257
MEM 0.328125 1764287328.8310
MEM 0.328125 1764287328.9351
MEM 0.328125 1764287329.0387
MEM 0.328125 1764287329.1437
MEM 0.328125 1764287329.2491
MEM 0.328125 1764287329.3545
MEM 0.328125 1764287329.4551
MEM 0.328125 1764287329.5601
MEM 0.328125 1764287329.6622
MEM 0.328125 1764287329.7677
MEM 0.328125 1764287329.8719
MEM 0.328125 1764287329.9733
MEM 0.328125 1764287330.0750
MEM 0.328125 1764287330.1806
MEM 0.328125 1764287330.2816
MEM 0.328125 1764287330.3870
MEM 0.328125 1764287330.4922
MEM 0.328125 1764287330.5937
MEM 0.328125 1764287330.6989
MEM 0.328125 1764287330.8024
MEM 0.328125 1764287330.9071
MEM 0.328125 1764287331.0124
MEM 0.328125 1764287331.1161
MEM 0.328125 1764287331.2173
MEM 0.328125 1764287331.3207
MEM 0.328125 1764287331.4237
MEM 0.328125 1764287331.5291
MEM 0.328125 1764287331.6326
MEM 0.328125 1764287331.7374
MEM 0.328125 1764287331.8421
MEM 0.328125 1764287331.9473
MEM 0.328125 1764287332.0527
MEM 0.328125 1764287332.1583
MEM 0.328125 1764287332.2622
MEM 0.328125 1764287332.3654
MEM 0.328125 1764287332.4708
MEM 0.328125 1764287332.5718
MEM 0.328125 1764287332.6752
MEM 0.328125 1764287332.7807
MEM 0.328125 1764287332.8862
MEM 0.328125 1764287332.9916
MEM 0.328125 1764287333.0970
MEM 0.328125 1764287333.2005
MEM 0.328125 1764287333.3060
MEM 0.328125 1764287333.4072
MEM 0.328125 1764287333.5102
MEM 0.328125 1764287333.6133
MEM 0.328125 1764287333.7171
MEM 0.328125 1764287333.8217
MEM 0.328125 1764287333.9250
MEM 0.328125 1764287334.0303
MEM 0.328125 1764287334.1342
MEM 0.328125 1764287334.2395
MEM 0.328125 1764287334.3406
MEM 0.328125 1764287334.4448
MEM 0.328125 1764287334.5461
MEM 0.328125 1764287334.6515
MEM 0.328125 1764287334.7563
MEM 0.328125 1764287334.8568
MEM 0.328125 1764287334.9614
MEM 0.328125 1764287335.0655
MEM 0.328125 1764287335.1710
MEM 0.328125 1764287335.2719
MEM 0.328125 1764287335.3726
MEM 0.328125 1764287335.4778
MEM 0.328125 1764287335.5833
MEM 0.328125 1764287335.6853
MEM 0.328125 1764287335.7858
MEM 0.328125 1764287335.8891
MEM 0.328125 1764287335.9938
MEM 0.328125 1764287336.0959
MEM 0.328125 1764287336.1986
MEM 0.328125 1764287336.3039
MEM 0.328125 1764287336.4053
MEM 0.328125 1764287336.5108
MEM 0.328125 1764287336.6134
MEM 0.328125 1764287336.7172
MEM 0.328125 1764287336.8216
MEM 0.328125 1764287336.9247
MEM 0.328125 1764287337.0269
MEM 0.328125 1764287337.1323
MEM 0.328125 1764287337.2377
MEM 0.328125 1764287337.3391
MEM 0.328125 1764287337.4395
MEM 0.328125 1764287337.5400
MEM 0.328125 1764287337.6427
MEM 0.328125 1764287337.7473
MEM 0.328125 1764287337.8503
MEM 0.328125 1764287337.9542
MEM 0.328125 1764287338.0555
MEM 0.328125 1764287338.1563
MEM 0.328125 1764287338.2569
MEM 0.328125 1764287338.3588
MEM 0.328125 1764287338.4633
MEM 0.328125 1764287338.5672
MEM 0.328125 1764287338.6717
MEM 0.328125 1764287338.7728
MEM 0.328125 1764287338.8781
MEM 0.328125 1764287338.9813
MEM 0.328125 1764287339.0846
MEM 0.328125 1764287339.1872
MEM 0.328125 1764287339.2925
MEM 0.328125 1764287339.3968
MEM 0.328125 1764287339.5003
MEM 0.328125 1764287339.6042
MEM 0.328125 1764287339.7078
MEM 0.328125 1764287339.8103
MEM 0.328125 1764287339.9148
MEM 0.328125 1764287340.0202
MEM 0.328125 1764287340.1221
MEM 0.328125 1764287340.2276
MEM 0.328125 1764287340.3299
MEM 0.328125 1764287340.4324
MEM 0.328125 1764287340.5379
MEM 0.328125 1764287340.6428
MEM 0.328125 1764287340.7469
MEM 0.328125 1764287340.8518
MEM 0.328125 1764287340.9559
MEM 0.328125 1764287341.0600
MEM 0.328125 1764287341.1636
MEM 0.328125 1764287341.2690
MEM 0.328125 1764287341.3726
MEM 0.328125 1764287341.4757
MEM 0.328125 1764287341.5804
MEM 0.328125 1764287341.6818
MEM 0.328125 1764287341.7828
MEM 0.328125 1764287341.8881
MEM 0.328125 1764287341.9935
MEM 0.328125 1764287342.0971
MEM 0.328125 1764287342.2026
MEM 0.328125 1764287342.3064
MEM 0.328125 1764287342.4079
MEM 0.328125 1764287342.5135
MEM 0.328125 1764287342.6173
MEM 0.328125 1764287342.7208
MEM 0.328125 1764287342.8264
MEM 0.328125 1764287342.9375
MEM 0.328125 1764287343.0427
MEM 0.328125 1764287343.1473
MEM 0.328125 1764287343.2487
MEM 0.328125 1764287343.3496
MEM 0.328125 1764287343.4546
MEM 0.328125 1764287343.5562
MEM 0.328125 1764287343.6605
MEM 0.328125 1764287343.7635
MEM 0.328125 1764287343.8687
MEM 0.328125 1764287343.9723
MEM 0.328125 1764287344.0775
MEM 0.328125 1764287344.1809
MEM 0.328125 1764287344.2854
MEM 0.328125 1764287344.3877
MEM 0.328125 1764287344.4929
MEM 0.328125 1764287344.5972
MEM 0.328125 1764287344.7025
MEM 0.328125 1764287344.8052
MEM 0.328125 1764287344.9088
MEM 0.328125 1764287345.0135
MEM 0.328125 1764287345.1187
MEM 0.328125 1764287345.2240
MEM 0.328125 1764287345.3294
MEM 0.328125 1764287345.4319
MEM 0.328125 1764287345.5359
MEM 0.328125 1764287345.6391
MEM 0.328125 1764287345.7395
MEM 0.328125 1764287345.8402
MEM 0.328125 1764287345.9442
