CMDLINE python3 pipeline.py
MEM 13847.000000 1764810701.0767
MEM 13829.468750 1764810701.1818
MEM 13918.156250 1764810701.2838
MEM 14046.843750 1764810701.3883
MEM 14002.890625 1764810701.4934
MEM 14005.187500 1764810701.5985
MEM 14005.296875 1764810701.7035
MEM 14005.281250 1764810701.8087
MEM 13912.625000 1764810701.9139
MEM 13094.781250 1764810702.0175
MEM 12812.718750 1764810702.1227
MEM 12779.875000 1764810702.2278
MEM 12670.593750 1764810702.3315
MEM 12612.171875 1764810702.4366
MEM 12480.578125 1764810702.5417
MEM 12385.390625 1764810702.6463
MEM 12323.859375 1764810702.7514
MEM 11747.734375 1764810702.8566
MEM 11472.687500 1764810702.9618
MEM 11472.546875 1764810703.0669
MEM 11472.390625 1764810703.1720
MEM 11472.015625 1764810703.2771
MEM 11453.640625 1764810703.3822
MEM 11357.656250 1764810703.4877
MEM 11366.484375 1764810703.5928
MEM 11366.484375 1764810703.6979
MEM 11366.500000 1764810703.8030
MEM 11374.234375 1764810703.9081
MEM 11378.000000 1764810704.0132
MEM 11385.515625 1764810704.1184
MEM 11385.593750 1764810704.2235
MEM 11385.593750 1764810704.3286
MEM 11387.375000 1764810704.4337
MEM 11394.234375 1764810704.5375
MEM 11394.578125 1764810704.6426
MEM 11397.265625 1764810704.7478
MEM 11398.515625 1764810704.8528
MEM 11399.000000 1764810704.9579
MEM 11399.843750 1764810705.0631
MEM 11402.203125 1764810705.1682
MEM 11402.812500 1764810705.2733
MEM 11398.765625 1764810705.3785
MEM 11216.421875 1764810705.4796
MEM 11377.937500 1764810705.5847
MEM 11378.421875 1764810705.6897
MEM 11468.312500 1764810705.7948
MEM 11580.812500 1764810705.8999
MEM 11693.062500 1764810706.0050
MEM 11757.296875 1764810706.1100
MEM 11642.203125 1764810706.2129
MEM 11666.015625 1764810706.3180
MEM 11637.687500 1764810706.4212
MEM 11658.296875 1764810706.5264
MEM 11778.671875 1764810706.6315
MEM 11474.546875 1764810706.7320
MEM 10952.078125 1764810706.8338
MEM 11013.515625 1764810706.9353
MEM 11017.406250 1764810707.0404
MEM 10979.203125 1764810707.1455
MEM 11002.359375 1764810707.2483
MEM 10721.718750 1764810707.3534
MEM 10740.109375 1764810707.4549
MEM 10755.203125 1764810707.5600
MEM 10673.656250 1764810707.6652
MEM 10675.140625 1764810707.7680
MEM 10647.281250 1764810707.8732
MEM 10644.390625 1764810707.9783
MEM 10719.140625 1764810708.0834
MEM 10658.734375 1764810708.1885
MEM 9712.500000 1764810708.2894
MEM 9708.156250 1764810708.3945
MEM 9332.671875 1764810708.4996
MEM 8997.562500 1764810708.6047
MEM 8997.562500 1764810708.7091
MEM 8997.687500 1764810708.8144
MEM 9048.203125 1764810708.9195
MEM 9046.593750 1764810709.0246
MEM 9047.656250 1764810709.1297
MEM 9048.531250 1764810709.2348
MEM 9049.546875 1764810709.3399
MEM 9053.375000 1764810709.4450
MEM 9060.875000 1764810709.5501
MEM 9060.890625 1764810709.6553
MEM 9064.640625 1764810709.7603
MEM 9064.640625 1764810709.8654
MEM 9064.671875 1764810709.9705
MEM 9066.203125 1764810710.0726
MEM 9067.828125 1764810710.1777
MEM 9069.843750 1764810710.2828
MEM 9070.437500 1764810710.3878
MEM 9071.484375 1764810710.4929
MEM 9072.531250 1764810710.5980
MEM 9073.421875 1764810710.7005
MEM 9074.031250 1764810710.8056
MEM 9077.625000 1764810710.9107
MEM 9080.500000 1764810711.0158
MEM 9081.921875 1764810711.1209
MEM 9082.562500 1764810711.2260
MEM 9082.625000 1764810711.3310
MEM 9082.703125 1764810711.4361
MEM 9083.062500 1764810711.5412
MEM 9083.062500 1764810711.6463
MEM 9086.859375 1764810711.7504
MEM 9086.859375 1764810711.8556
MEM 9094.390625 1764810711.9607
MEM 9094.390625 1764810712.0658
